2012-08-07 15:47:50 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 25]
2012-08-07 15:47:50 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 27]
2012-08-07 15:47:54 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 5]
2012-08-07 15:47:54 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 11]
2012-08-07 15:47:54 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 23]
2012-08-07 15:47:54 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 25]
2012-08-07 15:47:54 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 27]
2012-08-07 15:48:30 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 5]
2012-08-07 15:48:30 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 11]
2012-08-07 15:48:30 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 23]
2012-08-07 15:48:30 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 25]
2012-08-07 15:48:30 Debug: Notice (8): Undefined variable: info in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 27]
2012-08-07 15:50:27 Debug: Notice (8): Undefined index: producto in [C:\xampp\htdocs\sistema_magdaleno\app\controllers\denuncias_controller.php, line 270]
2012-08-07 15:51:13 Debug: Notice (8): Undefined index: producto in [C:\xampp\htdocs\sistema_magdaleno\app\controllers\denuncias_controller.php, line 270]
2012-08-07 15:51:17 Debug: Notice (8): Undefined index: galerias_id_galeria in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 21]
2012-08-07 16:06:48 Debug: Notice (8): Undefined variable: mensajes in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 53]
2012-08-07 16:11:22 Debug: Notice (8): Undefined index: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 55]
2012-08-07 16:17:18 Debug: Notice (8): Undefined index: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\misreclamos.ctp, line 55]
2012-08-07 16:47:04 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 5]
2012-08-07 16:47:04 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 11]
2012-08-07 16:47:04 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 18]
2012-08-07 16:47:04 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 19]
2012-08-07 16:47:04 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 26]
2012-08-07 16:47:04 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 28]
2012-08-07 16:47:04 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\denuncias\responder_reclamo.ctp, line 30]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 137]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 138]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 140]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 141]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 145]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 147]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 150]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 153]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 156]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 159]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 162]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 166]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 173]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 174]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 204]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 210]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 211]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 212]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 213]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 217]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 218]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 219]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 224]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 227]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 230]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 234]
2012-08-07 16:54:03 Debug: Notice (8): Undefined offset: 0 in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\detallegaleria.ctp, line 237]
